Lead ID,Date,Location,Form,Postcode,Make,Model,State,Registration Type,Badge,Colour,Second-preference Colour,Optional Package,Trade-in Yes/No,Year,Vehicle,Model,Odometer
3247512,8/6/2026,JAC Motors Midland,Register Your Interest JAC Hunter,6169,,,,,,,,,,,,,
3247509,8/6/2026,Northern JAC Motors,HunterBuild,3186,JAC,Hunter,VIC,Personal,Hunter X 4x4,Stratus,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3247508,8/6/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5038,,,,,,,,,,,,,
3247475,7/6/2026,JAC Motors,Register Your Interest JAC Hunter,3381,,,,,,,,,,,,,
3247189,7/6/2026,Sydney City JAC Motors,Reserve Your Build,N/A,JAC,Hunter,NSW,Business,Hunter X 4x4,Karak,Stratus,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",Yes,2011,Nissan,Navara,300000
3247143,6/6/2026,JAC Motors Midland,HunterBuild,6210,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Karak,I would like to wait for my preferred colour.,,No,,,,
3247113,6/6/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4352,,,,,,,,,,,,,
3247111,6/6/2026,JAC Motors Queanbeyan,Reserve Your Build,N/A,JAC,Hunter,NSW,Personal,Hunter X 4x4,Hammerhead,I would like to wait for my preferred colour.,Front & Rear Diff Lock - Already included,Yes,2018,Renault,Koleos,"92,000"
3247107,6/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3196,,,,,,,,,,,,,
3247076,6/6/2026,Keystar JAC Motors Kippa-Ring,HunterBuild,4509,JAC,Hunter,NSW,Personal,Hunter X 4x4,Ochre,,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",Yes,2025,ssangyong kgm,rexton,7500
3246792,5/6/2026,JAC Motors Hillcrest,Register Your Interest JAC Hunter,4124,,,,,,,,,,,,,
3246788,5/6/2026,JAC Motors Werribee,Register Your Interest JAC Hunter,3217,,,,,,,,,,,,,
3246771,5/6/2026,JAC Motors Wodonga,Register Your Interest JAC Hunter,2650,,,,,,,,,,,,,
3246587,5/6/2026,JAC Motors,Register Your Interest JAC Hunter,3818,,,,,,,,,,,,,
3246177,4/6/2026,Northern JAC Motors,Register Your Interest JAC Hunter,3136,,,,,,,,,,,,,
3246173,4/6/2026,JAC Motors Wanneroo,Register Your Interest JAC Hunter,6030,,,,,,,,,,,,,
3246120,4/6/2026,JAC Motors Wanneroo,Reserve Your Build,N/A,JAC,Hunter,WA,Personal,Hunter X 4x4,Ochre,I would like to wait for my preferred colour.,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3246022,4/6/2026,JAC Motors Wodonga,HunterBuild,3723,JAC,Hunter,NSW,Personal,Hunter Pro 4x4,Ochre,Ochre,,Yes,2013,Mercedes Benz,ML250,175k
3245993,4/6/2026,JAC Motors Sunshine Coast - Maroochydore,Reserve Your Build,N/A,JAC,Hunter,QLD,Personal,Hunter X 4x4,Hammerhead,Huntsman,"Front & Rear Diff Lock - Already included, Power Sunroof - $TBC",No,,,,
3245956,4/6/2026,JAC Motors Werribee,Register Your Interest JAC Hunter,3216,,,,,,,,,,,,,
3245878,4/6/2026,JAC Motors Hampstead Gardens,Register Your Interest JAC Hunter,5032,,,,,,,,,,,,,
3245801,3/6/2026,JAC Motors Hampstead Gardens,Reserve Your Build,N/A,JAC,Hunter,SA,Personal,Hunter Pro 4x4,Hammerhead,Stratus,,No,,,,
