Lead ID,Date,Location,Postcode,State,Registration Type,Hunter Badge,Trade-in Year,Trade-in Make,Trade-in Model,Odometer
3231151,6/5/2026,JAC Motors Hillcrest,4069,QLD,Personal,Hunter X 4x4,,,,
3231149,6/5/2026,Northern JAC Motors,3107,NSW,Personal,Hunter Pro 4x4,2009,Toyota,Corolla,245000
3231092,5/5/2026,JAC Motors Sunshine Coast - Maroochydore,4551,QLD,Personal,Hunter X 4x4,2022.5,Nissan,Navara Warrior,47000
3231090,5/5/2026,Sydney City JAC Motors,2069,NSW,Personal,Hunter Pro 4x4,,,,
3231064,5/5/2026,von Bibra JAC Motors,4209,QLD,Personal,Hunter X 4x4,2017,Isuzu,D-MAX,207000
3231059,5/5/2026,Northern JAC Motors,3429,VIC,Personal,Hunter Pro 4x4,2018,Toyota,Hilux,230000
3231022,5/5/2026,Sydney City JAC Motors,2070,NSW,Personal,Hunter X 4x4,2022,skoda,kodiaq,70000
3231020,5/5/2026,JAC Motors Campbelltown,2557,NSW,Personal,Hunter X 4x4,2023,Tank,300,60000
3231015,5/5/2026,Northern JAC Motors,3818,VIC,Personal,Hunter Pro 4x4,2021,Tesla,Model 3,148000
3231008,5/5/2026,Keystar JAC Motors Morayfield,4506,QLD,Business,Hunter X 4x4,2015,Nissan,Navara,260000
3231006,5/5/2026,JAC Motors Wanneroo,6722,WA,Personal,Hunter X 4x4,,,,
3230995,5/5/2026,JAC Motors Midland,6164,WA,Personal,Hunter X 4x4,2015,mitsubushi,triton,140000
3230982,5/5/2026,JAC Motors Gympie,4580,NSW,Personal,Hunter Pro 4x4,2020,Toyota,Hilux sr6 dual cab,45
3230943,5/5/2026,Northern JAC Motors,3658,VIC,Personal,Hunter Pro 4x4,2016,Holden,Colorado,253000
3230925,5/5/2026,Cricks Highway JAC Motors,4130,QLD,Personal,Hunter Pro 4x4,2021,Isuzu,Dmax xterrain,70000
